,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
31,3haZcHm3HydDVxm3je3Zmg,"Help Me, Rhonda - Single Version/Remastered 2001",Summer Days (And Summer Nights) [Remastered],The Beach Boys,1965-07-05,168240,50,0.311,0.544,0.748,0.000716,0.0633,-6.243,0.0298,139.739,4,0.825,1960
32,7f5w4aiYgVZrp9w4bNaBLu,Puppet On A String,"Love Me, Please Love Me (Deluxe Edition)",Sandie Shaw,1967-01-01,143000,48,0.405,0.724,0.606,0.0,0.054,-9.015,0.0497,124.412,4,0.956,1960
33,2HoqbEOXgbDSLZ5XCePEXt,Hit the Road Jack,Soul,Ray Charles,2021-06-04,119880,67,0.704,0.598,0.571,0.0,0.513,-12.616,0.139,173.141,4,0.962,1960
34,7xcFTtcCiyRvqLLq8s61WF,You Never Can Tell,You Never Can Tell: His Complete Chess Recordings 1960 -1966,Chuck Berry,2009-01-01,161946,0,0.754,0.605,0.837,4.11e-05,0.3,-10.059,0.114,157.225,4,0.93,1960
35,73XQBWHSVLL1939hb8cQTm,Georgy Girl,The Seekers,The Seekers,1989-01-30,140440,55,0.265,0.515,0.496,0.0,0.182,-7.446,0.0324,153.582,4,0.651,1960
36,4NL8D4RQsC6ux6eI3m3Lg5,Everybody Needs Somebody to Love,The Very Best of Solomon Burke,Solomon Burke,1998,166066,58,0.145,0.629,0.543,0.0,0.116,-9.185,0.045,75.519,4,0.858,1960
38,2RyhBTD6SWLgaU5dhfVtEP,Viva Las Vegas,Best Of Elvis Presley,Elvis Presley,2001-07-09,140866,0,0.757,0.577,0.612,0.0,0.283,-12.181,0.0438,145.029,4,0.761,1960
39,601a0vnyLYe7pzLKVjKSha,How Do You Do It? - Mono,At Abbey Road,Gerry & The Pacemakers,1997-10-13,114986,43,0.36,0.617,0.711,1.59e-06,0.0841,-6.433,0.0297,142.266,4,0.963,1960
41,2Rp4qTPWa91ctCSq0pu3zv,Everlasting Love,Pure... '60s,Various Artists,2012-03-23,181746,47,0.258,0.499,0.595,0.0,0.487,-10.028,0.0384,120.521,4,0.813,1960
42,2Qm5DrmotzWvqNM3JlcQYo,Let's Dance,The Hits,Chris Montez,1962-01-01,149626,47,0.212,0.751,0.83,7.94e-06,0.0584,-6.215,0.0951,76.489,4,0.935,1960
