,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
49,5E1pngWasYW2Y6OjV6WMUs,You Don't Own Me,Lesley Gore Sings Of Mixed-Up Hearts,Lesley Gore,1963-11-01,150000,0,0.696,0.479,0.409,0.0,0.722,-10.059,0.0257,94.914,3,0.675,1960
50,4yRPGDmtIWZjhIPcEvPxsF,Strangers In The Night,Strangers In The Night (Expanded Edition),Frank Sinatra,1966-05,157866,0,0.615,0.292,0.487,0.0,0.178,-8.239,0.0285,93.309,4,0.531,1960
51,3nr6QXimwd9K4hpuFdgr6N,I Left My Heart In San Francisco,The Definitive 60's (sixties),Various Artists,2007-12-10,169746,0,0.949,0.235,0.244,2.51e-05,0.134,-12.106,0.0312,169.738,5,0.149,1960
52,66EcsKLusAz7ydla0ENGkg,Darling Baby - Mono,The Motown Anthology,The Elgins,2007-01-01,155440,33,0.142,0.542,0.777,0.0,0.544,-3.403,0.0272,113.101,3,0.823,1960
53,27bw4i8LnECzVlbMZ4kFHw,Cathy's Clown - 2007 Remaster,A Date with The Everly Brothers,The Everly Brothers,1960-10,145933,50,0.548,0.507,0.561,0.0,0.59,-10.472,0.0353,120.042,4,0.89,1960
54,3NFScsiDPfCzKgQQUL0674,Ferry Cross the Mersey - Stereo; 1997 Remaster,Ferry Cross The Mersey [Mono And Stereo Version],Gerry & The Pacemakers,1965-02-01,143866,55,0.548,0.396,0.286,8.51e-06,0.122,-11.494,0.0283,105.289,4,0.605,1960
55,6n3WVi0pxFQuAjAQRPPryY,Cowboys to Girls,Cowboys to Girls,The Intruders,1968-01-01,159080,48,0.797,0.278,0.432,0.0,0.732,-9.181,0.0402,208.007,4,0.838,1960
56,6vcNJUWtUPB0hKC6VbZriY,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,San Francisco,Scott McKenzie,1967-07-16,178506,62,0.538,0.525,0.52,0.00569,0.111,-11.725,0.0271,112.554,4,0.523,1960
57,7cNRqg0lbiqBaGeOlA4AEU,Up on the Roof,Under the Boardwalk,The Drifters,1964-06-01,157173,58,0.706,0.693,0.29,1.49e-05,0.137,-17.501,0.0334,121.795,4,0.92,1960
58,4xUqqie4bBKufHtlMuZS3k,Are You Lonesome Tonight?,Platinum - A Life In Music,Elvis Presley,1997-07-15,186666,54,0.92,0.433,0.0748,0.00104,0.105,-19.351,0.049,73.093,3,0.193,1960
59,1c7ELD4W6VyoKTglc4zzUH,Mad About The Boy,The Complete Dinah Washington On Mercury Vol. 2 (1950-1952),Dinah Washington,1987-01-01,182573,51,0.922,0.344,0.147,0.00019,0.0482,-10.3,0.0369,177.192,3,0.263,1960
60,0PkBTqRtN25z3oKasWoKlj,Only the Lonely,Sings Lonely and Blue,Roy Orbison,1961,145533,60,0.377,0.57,0.529,0.00509,0.203,-10.769,0.028,123.273,4,0.934,1960
61,6ek9SiEj5a65WIs2EV7qiM,Son Of A Preacher Man,Dusty In Memphis,Dusty Springfield,1969-03-31,148053,72,0.538,0.404,0.43,0.0,0.0802,-12.327,0.224,180.061,4,0.641,1960
62,4GipxMgLhzh1cFW5U1HH6t,What the World Needs Now Is Love,Close to You,Dionne Warwick,2016-11-25,190480,46,0.915,0.574,0.364,9.98e-06,0.137,-9.672,0.0365,112.094,3,0.398,1960
63,3UCmuRdeTriWgOZMEJsfqZ,Spanish Harlem,Spanish Harlem,Ben E. King,1961,174293,50,0.32,0.608,0.594,4.75e-05,0.129,-11.86,0.0435,125.166,4,0.789,1960
64,7FwkoTz8Ic8C5YaE9XXGIU,The Tracks Of My Tears,The Definitive Collection,Smokey Robinson & The Miracles,2008-01-01,174800,44,0.808,0.486,0.474,0.0,0.219,-6.316,0.0277,96.417,4,0.703,1960
65,0RFKuagqUgR4X8C1QneCCq,A Change Is Gonna Come,Ain't That Good News (Remastered),Sam Cooke,1964-03-01,191160,0,0.756,0.214,0.4,0.0,0.325,-10.042,0.0342,169.683,3,0.508,1960
66,7eErg4xYy85zjy10xsZop6,Honey (I Miss You),"Gary Puckett & The Union Gap Featuring ""Young Girl""",Gary Puckett & The Union Gap,1968-01-14,252146,42,0.803,0.431,0.283,4.04e-05,0.306,-11.466,0.0287,92.194,4,0.472,1960
67,6yMGxqKj0218mFR5KqsMRq,Georgia on My Mind,True Genius,Ray Charles,2021-09-10,219560,59,0.626,0.19,0.323,2.17e-06,0.176,-12.405,0.0303,94.34,4,0.281,1960
68,0MKqeOVdZcUFGJvWpGCKbG,Come Together - Remastered,Abbey Road (Remastered),The Beatles,1969-09-26,259946,1,0.0302,0.533,0.376,0.248,0.0926,-11.913,0.0393,165.007,4,0.187,1960
